id;prj;sec;dim;quality;rem_len;marking_text;used_in
1;056001;06001;RP220X11;A40;2220;06001-RP220X11-A40-1-L2220;
2;056001;06001;RP220X11;A40;2220;06001-RP220X11-A40-2-L2220;
3;056001;06001;RP180X11;A40;3897;06001-RP180X11-A40-38-L3897;06002-RP180X11-A40-1
4;056001;06002;RP180X11;A40;2220;06002-RP180X11-A40-31-L2220;06003-RP180X11-A40-5
5;056001;06002;RP180X11;A40;2220;06002-RP180X11-A40-32-L2220;06003-RP180X11-A40-1
6;056001;06002;RP180X11;A40;2220;06002-RP180X11-A40-33-L2220;06003-RP180X11-A40-2
7;056001;06002;RP180X11;A40;2220;06002-RP180X11-A40-34-L2220;06003-RP180X11-A40-3
8;056001;06002;RP180X11;A40;2220;06002-RP180X11-A40-35-L2220;06003-RP180X11-A40-4
9;056001;06002;RP180X11;A40;9555;06002-RP180X11-A40-36-L9555;06003-RP180X11-A40-6
10;056001;06002;RP220X11;A40;4665;06002-RP220X11-A40-1-L4665;06003-RP220X11-A40-1
11;056001;06003;RP180X11;A40;2184;06003-RP180X11-A40-32-L2184;06001-RP180X11-A40-1
12;056001;06003;RP180X11;A40;2184;06003-RP180X11-A40-33-L2184;06001-RP180X11-A40-2
13;056001;06003;RP180X11;A40;2184;06003-RP180X11-A40-34-L2184;06001-RP180X11-A40-3
14;056001;06003;RP180X11;A40;2184;06003-RP180X11-A40-35-L2184;06001-RP180X11-A40-4
15;056001;06003;RP180X11;A40;2184;06003-RP180X11-A40-36-L2184;06001-RP180X11-A40-5
16;056001;06003;RP180X11;A40;2184;06003-RP180X11-A40-37-L2184;06001-RP180X11-A40-6
17;056001;06003;RP180X11;A40;2184;06003-RP180X11-A40-38-L2184;06001-RP180X11-A40-7
18;056001;06003;RP180X11;A40;2184;06003-RP180X11-A40-39-L2184;06001-RP180X11-A40-8
19;056001;06003;RP180X11;A40;2184;06003-RP180X11-A40-40-L2184;06001-RP180X11-A40-9
20;056001;06003;RP180X11;A40;2184;06003-RP180X11-A40-41-L2184;06001-RP180X11-A40-10
21;056001;06003;RP180X11;A40;2184;06003-RP180X11-A40-42-L2184;06001-RP180X11-A40-11
22;056001;06003;RP180X11;A40;2184;06003-RP180X11-A40-43-L2184;06001-RP180X11-A40-12
23;056001;06003;RP180X11;A40;2234;06003-RP180X11-A40-44-L2234;06001-RP180X11-A40-13
24;056001;06003;RP180X11;A40;2384;06003-RP180X11-A40-45-L2384;06001-RP180X11-A40-15
25;056001;06003;RP180X11;A40;2384;06003-RP180X11-A40-46-L2384;06001-RP180X11-A40-14
26;056001;06003;RP180X11;A40;9596;06003-RP180X11-A40-47-L9596;06001-RP180X11-A40-16
27;056001;06003;RP220X11;A40;2211;06003-RP220X11-A40-1-L2211;
28;056001;06003;RP220X11;A40;7092;06003-RP220X11-A40-2-L7092;06001-RP220X11-A40-1
29;056001;06001;RP220X11;A40;2194;06001-RP220X11-A40-1-L2194;05003-RP220X11-A40-6
30;056001;06001;RP220X11;A40;7102;06001-RP220X11-A40-2-L7102;06004-RP220X11-A40-1
31;056001;06001;RP180X11;A40;1115;06001-RP180X11-A40-18-L1115;06002-RP180X11-A40-1
32;056001;06001;RP180X11;A40;2204;06001-RP180X11-A40-19-L2204;06002-RP180X11-A40-3
33;056001;06001;RP180X11;A40;2204;06001-RP180X11-A40-20-L2204;06002-RP180X11-A40-9
34;056001;06001;RP180X11;A40;2204;06001-RP180X11-A40-21-L2204;06002-RP180X11-A40-4
35;056001;06001;RP180X11;A40;2204;06001-RP180X11-A40-22-L2204;06002-RP180X11-A40-5
36;056001;06001;RP180X11;A40;2204;06001-RP180X11-A40-23-L2204;06002-RP180X11-A40-6
37;056001;06001;RP180X11;A40;2204;06001-RP180X11-A40-24-L2204;06002-RP180X11-A40-7
38;056001;06001;RP180X11;A40;2204;06001-RP180X11-A40-25-L2204;06002-RP180X11-A40-8
39;056001;06001;RP180X11;A40;2204;06001-RP180X11-A40-26-L2204;06002-RP180X11-A40-10
40;056001;06001;RP180X11;A40;2204;06001-RP180X11-A40-27-L2204;06002-RP180X11-A40-2
41;056001;06002;RP180X11;A40;1116;06002-RP180X11-A40-2-L1116;06004-RP180X11-A40-1
42;056001;06002;RP180X11;A40;2204;06002-RP180X11-A40-11-L2204;06004-RP180X11-A40-3
43;056001;06002;RP180X11;A40;2204;06002-RP180X11-A40-12-L2204;06004-RP180X11-A40-4
44;056001;06002;RP180X11;A40;2204;06002-RP180X11-A40-13-L2204;06004-RP180X11-A40-5
45;056001;06002;RP180X11;A40;2204;06002-RP180X11-A40-14-L2204;06004-RP180X11-A40-6
46;056001;06002;RP180X11;A40;2204;06002-RP180X11-A40-15-L2204;06004-RP180X11-A40-2
47;056001;06002;RP180X11;A40;9554;06002-RP180X11-A40-16-L9554;06004-RP180X11-A40-7
48;056001;06004;RP200X12;A40;2184;06004-RP200X12-A40-1-L2184;06005-RP200X12-A40-9
49;056001;06004;RP200X12;A40;2184;06004-RP200X12-A40-2-L2184;06005-RP200X12-A40-2
50;056001;06004;RP200X12;A40;2184;06004-RP200X12-A40-3-L2184;06005-RP200X12-A40-3
51;056001;06004;RP200X12;A40;2184;06004-RP200X12-A40-4-L2184;06005-RP200X12-A40-4
52;056001;06004;RP200X12;A40;2184;06004-RP200X12-A40-5-L2184;06005-RP200X12-A40-5
53;056001;06004;RP200X12;A40;2184;06004-RP200X12-A40-6-L2184;06005-RP200X12-A40-6
54;056001;06004;RP200X12;A40;2184;06004-RP200X12-A40-7-L2184;06005-RP200X12-A40-7
55;056001;06004;RP200X12;A40;2184;06004-RP200X12-A40-8-L2184;06005-RP200X12-A40-8
56;056001;06004;RP200X12;A40;2184;06004-RP200X12-A40-9-L2184;06005-RP200X12-A40-1
57;056001;06004;RP200X12;A40;2284;06004-RP200X12-A40-10-L2284;06005-RP200X12-A40-10
58;056001;06004;RP220X11;A40;2194;06004-RP220X11-A40-1-L2194;05002-RP220X11-A40-8
59;056001;06004;RP220X11;A40;2184;06004-RP220X11-A40-2-L2184;05002-RP220X11-A40-5
60;056001;06004;RP220X11;A40;2184;06004-RP220X11-A40-3-L2184;05002-RP220X11-A40-7
61;056001;06004;RP220X11;A40;2200;06004-RP220X11-A40-4-L2200;05003-RP220X11-A40-7
62;056001;06004;RP220X11;A40;7192;06004-RP220X11-A40-5-L7192;06005-RP220X11-A40-1
63;056001;06004;RP180X11;A40;7132;06004-RP180X11-A40-43-L7132;06005-RP180X11-A40-1
64;056001;06005;RP200X12;A40;2174;06005-RP200X12-A40-14-L2174;06006-RP200X12-A40-1
65;056001;06005;RP200X12;A40;2184;06005-RP200X12-A40-15-L2184;06006-RP200X12-A40-2
66;056001;06005;RP200X12;A40;2199;06005-RP200X12-A40-16-L2199;06006-RP200X12-A40-3
67;056001;06005;RP180X11;A40;4977;06005-RP180X11-A40-26-L4977;06006-RP180X11-A40-1
68;056001;06005;RP220X11;A40;2284;06005-RP220X11-A40-1-L2284;
69;056001;06005;RP220X11;A40;9546;06005-RP220X11-A40-2-L9546;06006-RP220X11-A40-1
70;056001;06006;RP220X11;A40;2184;06006-RP220X11-A40-1-L2184;05002-RP220X11-A40-6
71;056001;06006;RP200X12;A40;2058;06006-RP200X12-A40-8-L2058;
72;056001;06006;RP200X12;A40;2184;06006-RP200X12-A40-9-L2184;
73;056001;06006;RP200X12;A40;2339;06006-RP200X12-A40-10-L2339;
74;056001;06006;RP180X11;A40;2871;06006-RP180X11-A40-26-L2871;05001-RP180X11-A40-1
75;056001;05001;RP220X11;A40;1748;05001-RP220X11-A40-1-L1748;
76;056001;05001;RP220X11;A40;1748;05001-RP220X11-A40-2-L1748;
77;056001;05001;RP220X11;A40;1748;05001-RP220X11-A40-3-L1748;
78;056001;05001;RP220X11;A40;1748;05001-RP220X11-A40-4-L1748;05002-RP220X11-A40-4
79;056001;05001;RP220X11;A40;1748;05001-RP220X11-A40-5-L1748;05002-RP220X11-A40-3
80;056001;05001;RP220X11;A40;1748;05001-RP220X11-A40-6-L1748;05002-RP220X11-A40-2
81;056001;05001;RP220X11;A40;1748;05001-RP220X11-A40-7-L1748;
82;056001;05001;RP220X11;A40;1748;05001-RP220X11-A40-8-L1748;05003-RP220X11-A40-4
83;056001;05001;RP220X11;A40;1748;05001-RP220X11-A40-9-L1748;05002-RP220X11-A40-1
84;056001;05001;RP220X11;A40;1948;05001-RP220X11-A40-10-L1948;
85;056001;05001;RP220X11;A40;1948;05001-RP220X11-A40-11-L1948;
86;056001;05001;RP220X11;A40;2204;05001-RP220X11-A40-12-L2204;
87;056001;05001;RP220X11;A40;2204;05001-RP220X11-A40-13-L2204;05003-RP220X11-A40-10
88;056001;05001;RP220X11;A40;2204;05001-RP220X11-A40-14-L2204;05003-RP220X11-A40-11
89;056001;05001;RP220X11;A40;2204;05001-RP220X11-A40-15-L2204;05003-RP220X11-A40-8
90;056001;05001;RP220X11;A40;2204;05001-RP220X11-A40-16-L2204;
91;056001;05001;RP220X11;A40;2204;05001-RP220X11-A40-17-L2204;
92;056001;05001;RP220X11;A40;2204;05001-RP220X11-A40-18-L2204;
93;056001;05001;RP220X11;A40;2404;05001-RP220X11-A40-19-L2404;05002-RP220X11-A40-9
94;056001;05001;RP120X6.5;A40;9945;05001-RP120X6.5-A40-1-L9945;
95;056001;05001;RP180X11;A40;1496;05001-RP180X11-A40-19-L1496;05002-RP180X11-A40-1
96;056001;05001;RP180X11;A40;2204;05001-RP180X11-A40-20-L2204;05002-RP180X11-A40-9
97;056001;05001;RP180X11;A40;2204;05001-RP180X11-A40-21-L2204;05002-RP180X11-A40-3
98;056001;05001;RP180X11;A40;2204;05001-RP180X11-A40-22-L2204;05002-RP180X11-A40-4
99;056001;05001;RP180X11;A40;2204;05001-RP180X11-A40-23-L2204;05002-RP180X11-A40-5
100;056001;05001;RP180X11;A40;2204;05001-RP180X11-A40-24-L2204;05002-RP180X11-A40-6
101;056001;05001;RP180X11;A40;2204;05001-RP180X11-A40-25-L2204;05002-RP180X11-A40-7
102;056001;05001;RP180X11;A40;2204;05001-RP180X11-A40-26-L2204;05002-RP180X11-A40-8
103;056001;05001;RP180X11;A40;2204;05001-RP180X11-A40-27-L2204;05002-RP180X11-A40-14
104;056001;05001;RP180X11;A40;2204;05001-RP180X11-A40-28-L2204;05002-RP180X11-A40-10
105;056001;05001;RP180X11;A40;2204;05001-RP180X11-A40-29-L2204;05002-RP180X11-A40-11
106;056001;05001;RP180X11;A40;2204;05001-RP180X11-A40-30-L2204;05002-RP180X11-A40-12
107;056001;05001;RP180X11;A40;2204;05001-RP180X11-A40-31-L2204;05002-RP180X11-A40-13
108;056001;05001;RP180X11;A40;2204;05001-RP180X11-A40-32-L2204;05002-RP180X11-A40-65
109;056001;05001;RP180X11;A40;2204;05001-RP180X11-A40-33-L2204;05002-RP180X11-A40-15
110;056001;05001;RP180X11;A40;2204;05001-RP180X11-A40-34-L2204;05002-RP180X11-A40-16
111;056001;05001;RP180X11;A40;2204;05001-RP180X11-A40-35-L2204;05002-RP180X11-A40-17
112;056001;05001;RP180X11;A40;2204;05001-RP180X11-A40-36-L2204;05002-RP180X11-A40-18
113;056001;05001;RP180X11;A40;2204;05001-RP180X11-A40-37-L2204;05002-RP180X11-A40-19
114;056001;05001;RP180X11;A40;2204;05001-RP180X11-A40-38-L2204;05002-RP180X11-A40-20
115;056001;05001;RP180X11;A40;2204;05001-RP180X11-A40-39-L2204;05002-RP180X11-A40-21
116;056001;05001;RP180X11;A40;2204;05001-RP180X11-A40-40-L2204;05002-RP180X11-A40-22
117;056001;05001;RP180X11;A40;2204;05001-RP180X11-A40-41-L2204;05002-RP180X11-A40-23
118;056001;05001;RP180X11;A40;2204;05001-RP180X11-A40-42-L2204;05002-RP180X11-A40-24
119;056001;05001;RP180X11;A40;2204;05001-RP180X11-A40-43-L2204;05002-RP180X11-A40-25
120;056001;05001;RP180X11;A40;2204;05001-RP180X11-A40-44-L2204;05002-RP180X11-A40-26
121;056001;05001;RP180X11;A40;2204;05001-RP180X11-A40-45-L2204;05002-RP180X11-A40-27
122;056001;05001;RP180X11;A40;2204;05001-RP180X11-A40-46-L2204;05002-RP180X11-A40-28
123;056001;05001;RP180X11;A40;2204;05001-RP180X11-A40-47-L2204;05002-RP180X11-A40-29
124;056001;05001;RP180X11;A40;2204;05001-RP180X11-A40-48-L2204;05002-RP180X11-A40-30
125;056001;05001;RP180X11;A40;2204;05001-RP180X11-A40-49-L2204;05002-RP180X11-A40-31
126;056001;05001;RP180X11;A40;2204;05001-RP180X11-A40-50-L2204;05002-RP180X11-A40-32
127;056001;05001;RP180X11;A40;2204;05001-RP180X11-A40-51-L2204;05002-RP180X11-A40-33
128;056001;05001;RP180X11;A40;2204;05001-RP180X11-A40-52-L2204;05002-RP180X11-A40-34
129;056001;05001;RP180X11;A40;2204;05001-RP180X11-A40-53-L2204;05002-RP180X11-A40-35
130;056001;05001;RP180X11;A40;2204;05001-RP180X11-A40-54-L2204;05002-RP180X11-A40-36
131;056001;05001;RP180X11;A40;2204;05001-RP180X11-A40-55-L2204;05002-RP180X11-A40-37
132;056001;05001;RP180X11;A40;2204;05001-RP180X11-A40-56-L2204;05002-RP180X11-A40-38
133;056001;05001;RP180X11;A40;2204;05001-RP180X11-A40-57-L2204;05002-RP180X11-A40-39
134;056001;05001;RP180X11;A40;2204;05001-RP180X11-A40-58-L2204;05002-RP180X11-A40-40
135;056001;05001;RP180X11;A40;2204;05001-RP180X11-A40-59-L2204;05002-RP180X11-A40-41
136;056001;05001;RP180X11;A40;2204;05001-RP180X11-A40-60-L2204;05002-RP180X11-A40-42
137;056001;05001;RP180X11;A40;2204;05001-RP180X11-A40-61-L2204;05002-RP180X11-A40-43
138;056001;05001;RP180X11;A40;2204;05001-RP180X11-A40-62-L2204;05002-RP180X11-A40-44
139;056001;05001;RP180X11;A40;2204;05001-RP180X11-A40-63-L2204;05002-RP180X11-A40-45
140;056001;05001;RP180X11;A40;2204;05001-RP180X11-A40-64-L2204;05002-RP180X11-A40-46
141;056001;05001;RP180X11;A40;2204;05001-RP180X11-A40-65-L2204;05002-RP180X11-A40-47
142;056001;05001;RP180X11;A40;2204;05001-RP180X11-A40-66-L2204;05002-RP180X11-A40-48
143;056001;05001;RP180X11;A40;2204;05001-RP180X11-A40-67-L2204;05002-RP180X11-A40-49
144;056001;05001;RP180X11;A40;2204;05001-RP180X11-A40-68-L2204;05002-RP180X11-A40-50
145;056001;05001;RP180X11;A40;2204;05001-RP180X11-A40-69-L2204;05003-RP180X11-A40-11
146;056001;05001;RP180X11;A40;2204;05001-RP180X11-A40-70-L2204;05002-RP180X11-A40-52
147;056001;05001;RP180X11;A40;2204;05001-RP180X11-A40-71-L2204;05002-RP180X11-A40-53
148;056001;05001;RP180X11;A40;2204;05001-RP180X11-A40-72-L2204;05002-RP180X11-A40-54
149;056001;05001;RP180X11;A40;2204;05001-RP180X11-A40-73-L2204;05002-RP180X11-A40-55
150;056001;05001;RP180X11;A40;2204;05001-RP180X11-A40-74-L2204;05002-RP180X11-A40-56
151;056001;05001;RP180X11;A40;2204;05001-RP180X11-A40-75-L2204;05002-RP180X11-A40-57
152;056001;05001;RP180X11;A40;2204;05001-RP180X11-A40-76-L2204;05002-RP180X11-A40-58
153;056001;05001;RP180X11;A40;2204;05001-RP180X11-A40-77-L2204;05002-RP180X11-A40-59
154;056001;05001;RP180X11;A40;2204;05001-RP180X11-A40-78-L2204;05002-RP180X11-A40-60
155;056001;05001;RP180X11;A40;2204;05001-RP180X11-A40-79-L2204;05002-RP180X11-A40-61
